"Código do IBGE";"Código do Município";"Município";"Estado";"Ano de Referência";"Prestadores";"Serviços";"Natureza Jurídica";"POP_TOT - População total do município (Fonte: IBGE):";"POP_URB - População urbana do município (Fonte: IBGE)";"AG001 - População total atendida com abastecimento de água";"ES001 - População total atendida com esgotamento sanitário";"CO014 - População urbana atendida com serviço de coleta de RDO";"IN015_AE - Índice de coleta de esgoto";"IN016_AE - Índice de tratamento de esgoto";"IN024_AE - Índice de atendimento urbano de esgoto referido aos municípios atendidos com água"
;240580;João Câmara;RN;2010;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;;32.227;22.657;22.489;;;;;;
;240580;João Câmara;RN;2009;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;;31.518;21.683;21.217;;;;;;
;240580;João Câmara;RN;2008;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água | Res. Sólidos;;31.332;21.555;21.073;;31.332;;;;
;240580;João Câmara;RN;2007;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água | Res. Sólidos;;30.423;20.930;20.930;;30.423;;;;
;240580;João Câmara;RN;2006;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água | Res. Sólidos;;31.757;21.668;20.314;;31.000;;;;
;240580;João Câmara;RN;2005;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC;Água | Res. Sólidos;;31.374;21.407;20.254;;23.000;;;;
;240580;João Câmara;RN;2004;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;;30.989;21.144;20.194;;;;;;
;240580;João Câmara;RN;2003;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água;;30.294;20.670;20.134;;;;;;
2407203;240720;Macau;RN;2022;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24072040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;27.369;;17.962;20.137;;81,14;91,32;;
2407203;240720;Macau;RN;2021;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24072040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;32.260;24.474;21.935;20.134;;88,97;100,00;82,27;
2407203;240720;Macau;RN;2020;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24072040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;32.039;24.306;23.137;20.090;;85,53;100,00;82,65;
2407203;240720;Macau;RN;2019;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24072040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;31.814;24.136;24.088;20.340;;84,51;100,00;77,93;
;240720;Macau;RN;2018;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24072040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;;31.584;23.961;24.559;20.147;;92,51;100,00;84,08;
;240720;Macau;RN;2017;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24072040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;;31.859;24.170;21.982;20.272;;81,18;100,00;82,65;
;240720;Macau;RN;2016;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24072040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;;31.592;23.967;25.314;20.699;;75,16;100,00;86,36;
;240720;Macau;RN;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24072040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;;31.318;23.759;23.797;20.618;;75,53;100,00;86,78;
;240720;Macau;RN;2014;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24072040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;;31.037;23.546;24.806;20.665;;72,42;100,00;87,75;
;240720;Macau;RN;2013;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;30.749;23.328;25.360;21.098;;74,52;100,00;90,43;
;240720;Macau;RN;2012;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;29.446;22.339;24.282;21.375;;77,31;100,00;95,68;
;240720;Macau;RN;2011;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;29.204;22.156;22.333;21.392;;78,23;100,00;96,55;
;240720;Macau;RN;2010;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;28.954;21.966;21.966;21.399;;79,12;100,00;97,42;
;240720;Macau;RN;2009;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;28.157;21.782;21.722;21.722;;;100,00;99,72;
;240720;Macau;RN;2008;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;27.951;21.623;21.353;21.353;;;100,00;98,75;
;240720;Macau;RN;2007;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;27.132;20.989;20.989;20.989;;54,99;100,00;100,00;
;240720;Macau;RN;2006;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;25.489;18.459;26.788;7.228;;19,65;100,00;39,16;
;240720;Macau;RN;2005;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;25.521;18.482;26.119;5.442;;17,98;100,00;29,44;
;240720;Macau;RN;2004;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;25.554;18.506;25.426;4.728;;16,30;100,00;25,55;
;240720;Macau;RN;2003;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN;Água e Esgoto;;25.612;18.548;18.640;4.233;;;100,00;22,82;
2408003;240800;Mossoró;RN;2022;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] DIRETORIA EXECUTIVA DE SERVIÇOS URBANOS - DESUR;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;264.577;;235.085;163.333;;54,80;91,22;;
